,log2FoldChange,padj,baseMean,name
ENSG00000169432,4.944552718,9.08E-05,6.810815508,
ENSG00000145723,4.943783832,3.79E-25,178.6289352,
ENSG00000147955,4.937664817,4.81E-41,838.9842775,
ENSG00000262454,4.929950573,1.95E-09,45.13972133,
ENSG00000197275,4.928182522,1.26E-21,55.93566185,
ENSG00000112118,4.923064132,5.08E-49,3090.052023,
ENSG00000233705,4.9018453,1.53E-11,24.03902204,
ENSG00000124787,4.900630432,1.32E-29,111.7258164,
ENSG00000197153,4.897173639,0.001055432,3.488122032,
ENSG00000250033,4.889375906,3.92E-05,7.949259341,
ENSG00000236081,4.888972192,3.96E-06,11.88878249,
ENSG00000173221,4.881070682,3.40E-30,4612.735569,
ENSG00000170627,4.876237464,1.09E-18,158.3617421,
ENSG00000106367,4.874508827,2.61E-48,334.4221627,
ENSG00000172965,4.871972211,6.53E-24,1142.324904,
ENSG00000080819,4.871058984,9.26E-48,1003.978408,
ENSG00000186818,4.868394254,5.74E-13,1493.603517,
ENSG00000163154,4.866159623,1.92E-19,74.8949032,
ENSG00000132481,4.865127734,2.84E-23,181.0658802,
ENSG00000163923,4.856698276,4.58E-38,253.119828,
ENSG00000168310,4.856293712,1.06E-34,2613.133121,
ENSG00000111186,4.855323429,4.68E-12,380.3638588,
ENSG00000178343,4.85176803,4.02E-05,7.473254113,
ENSG00000140105,4.847657276,1.36E-29,13237.94725,
ENSG00000258072,4.844264831,2.67E-06,19.19666713,
ENSG00000171502,4.843978401,6.36E-09,356.8397554,
ENSG00000117594,4.838385194,0.000223457,9.158320183,
ENSG00000137310,4.83796326,1.27E-32,1772.479955,
